10.000214482;60.512.480
10.000214482;1.754.233
10.000214482;67.285.370
10.000214482;462.402
10.000214482;6.128.415
10.000214482;644.865.078
10.000214482;291.709.621
10.000214482;2.085.600.888
20.000703696;46.282.585
20.000703696;1.542.134
20.000703696;66.496.870
20.000703696;131.165
20.000703696;5.768.999
20.000703696;533.279.448
20.000703696;220.222.691
20.000703696;2.061.109.896
30.001082961;51.144.544
30.001082961;1.613.993
30.001082961;67.824.619
30.001082961;134.064
30.001082961;6.040.786
30.001082961;577.762.017
30.001082961;245.481.854
30.001082961;2.102.294.078
40.001460397;45.911.699
40.001460397;1.557.397
40.001460397;66.543.455
40.001460397;80.738
40.001460397;5.896.001
40.001460397;533.689.863
40.001460397;218.820.088
40.001460397;2.062.566.803
50.001832605;50.259.132
50.001832605;1.690.206
50.001832605;70.072.444
50.001832605;214.428
50.001832605;6.524.523
50.001832605;565.981.756
50.001832605;240.578.142
50.001832605;2.171.938.709
60.000881000;48.475.330
60.000881000;1.589.631
60.000881000;67.931.406
60.000881000;235.404
60.000881000;6.014.127
60.000881000;553.734.903
60.000881000;242.742.983
60.000881000;2.105.594.772
